Sede Id;Sede Codice;Sede CodDistaccamento;Id Sede Padre;Descrizione;
002;1A;8000;001;DIREZIONE CENTRALE PER L'EMERGENZA E IL SOCCORSO TECNICO E L'ANTINCENDIO BOSCHIVO;
003;3A;8000;001;DIREZIONE CENTRALE PER LA PREVENZIONE E LA SICUREZZA TECNICA, ANTINCENDIO ED ENERGETICA;
005;2A;8000;001;DIREZIONE CENTRALE PER LA FORMAZIONE;
007;6A;8000;001;DIREZIONE CENTRALE PER LA PROGRAMMAZIONE E GLI AFFARI ECONOMICI E FINANZIARI;
009;8A;8000;001;DIREZIONE CENTRALE PER L'INNOVAZIONE TECNOLOGICA, LA DIGITALIZZAZIONE E PER I BENI E LE RISORSE LOGISTICHE E STRUMENTALI;
004;4A;8000;00;DIREZIONE CENTRALE DELLA DIFESA CIVILE E DELLE POLITICHE DI PROTEZIONE CIVILE - VICE CAPO DIPARTIMENTO;
006;5A;8000;00;DIREZIONE CENTRALE PER LE RISORSE UMANE;
008;7A;8000;00;DIREZIONE CENTRALE PER L'AMMINISTRAZIONE GENERALE;
